Transitions correctness: true

Transitions (271):
d03a45f91f406aa359971050d0313e2f71e897f8fd79bf6436d1e074b8066886: (s:21c267ef898a5960eea0d8cc0c93ea6eb54b46d154921ccbd6255d36be1f406f,t:7a79cb19b894de7fec3a2acfe84bc0c32d9c02fbff8a9f4807313349ecc173ea): [id=null, ex=0, sq=0, act=(6) open app, cp=null, txt=, exp=, tr=null] weight=1.0 ds=CS sc=null ex=0
cb054c8bc9643feb912042c1b84be09a684f09047f79c08e52ee15d83426d98f: (s:21c267ef898a5960eea0d8cc0c93ea6eb54b46d154921ccbd6255d36be1f406f,t:8a0989d52532b67b2bb0844a359fcd554c181be1166882c9a54b95987999d863): [id=null, ex=0, sq=0, act=(6) open app, cp=null, txt=, exp=, tr=null] weight=2.0 ds=TR sc=null ex=0
49cfae62da025ba711eaee11e1b900ba2103a1adfa41130d97ca5f044e7b8974: (s:21c267ef898a5960eea0d8cc0c93ea6eb54b46d154921ccbd6255d36be1f406f,t:653507b3b83829241b2870896117a9f20e211f27e6e887f47e1f6a727260e8cf): [id=null, ex=1, sq=0, act=(6) open app, cp=null, txt=, exp=, tr=null] weight=2.0 ds=TR sc=null ex=1

383b2689239d04919ca825fe995630f5d944e794cb6b44bc98f2485e4fb12258: (s:9a08525313e4af818083ca92ca2d40538f5b614fdc94a1aefb634c6a8d9ac669,t:3f77f67328ddc4e70085ecc5fb78fb962ed52eab2e0e6081ca3fc1d1f46ff5af): [id=5, ex=0, sq=6, act=(0) click, cp=[, ty=TextView, idx=item_unfav, idnx=2, tx=, x=723, y=73, h=126, w=126, dsc=Remove from favorites], txt=, exp=, tr=null] weight=2.0 ds=TR sc=nerd.tuxmobil.fahrplan.camp.User-Trace.1.nerd.tuxmobil.fahrplan.camp_1.32.2_camp20156_augmented.png ex=0

d3fdeace38cff8ebb68edfdd07193e00615d7b04888ca63b4e0e9af1336d1893: (s:3f77f67328ddc4e70085ecc5fb78fb962ed52eab2e0e6081ca3fc1d1f46ff5af,t:8a5b7cbf344e40b56188884beca6dbc56c662d01aafa078ec264f708182ada60): [id=6, ex=0, sq=7, act=(0) click, cp=[, ty=ImageView, idx=back, idnx=1, tx=, x=131, y=1794, h=126, w=210, dsc=Back], txt=, exp=, tr=null] weight=2.0 ds=TR sc=nerd.tuxmobil.fahrplan.camp.User-Trace.1.nerd.tuxmobil.fahrplan.camp_1.32.2_camp20157_augmented.png ex=0

23a63402e1a391f359a8be3bf6157e88f0d597f6a28ab06768e6c848659800d0: (s:8a5b7cbf344e40b56188884beca6dbc56c662d01aafa078ec264f708182ada60,t:6071c733f70f9a5f7f11c279b4230edef30fa797ee6887ccc765957588773a7c): [id=7, ex=0, sq=8, act=(0) click, cp=[, ty=ImageView, idx=back, idnx=1, tx=, x=131, y=1794, h=126, w=210, dsc=Back], txt=, exp=, tr=null] weight=2.0 ds=TR sc=nerd.tuxmobil.fahrplan.camp.User-Trace.1.nerd.tuxmobil.fahrplan.camp_1.32.2_camp20158_augmented.png ex=0

7ac6475e8a7d441da0e49350add44c2242f47327875371c2d33c02e9d1cf223c: (s:6071c733f70f9a5f7f11c279b4230edef30fa797ee6887ccc765957588773a7c,t:3863d618db9e75020d3d21e6603cfff2381beb8e4dd079bd9494d6b07cbd1572): [id=8, ex=0, sq=9, act=(0) click, cp=[, ty=KeyButtonView, idx=BACK_MODAL, idnx=0, tx=, x=609, y=133, h=0, w=0, ], txt=, exp=, tr=null] weight=2.0 ds=TR sc=nerd.tuxmobil.fahrplan.camp.User-Trace.1.nerd.tuxmobil.fahrplan.camp_1.32.2_camp20159_augmented.png ex=0

08fe2012c5693038a6880e965a5ec9b8919cb39a16dd2eb9f04940d268663ad8: (s:3863d618db9e75020d3d21e6603cfff2381beb8e4dd079bd9494d6b07cbd1572,t:4438e4db01e944f35c9ed9aabd800ca9c9abbffbef598d120c9cdfe3bb88518f): [id=9, ex=0, sq=10, act=(0) click, cp=[, ty=TextView, idx=text1, idnx=3, tx=Day 4, x=385, y=451, h=126, w=175, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=nerd.tuxmobil.fahrplan.camp.User-Trace.1.nerd.tuxmobil.fahrplan.camp_1.32.2_camp201510_augmented.png ex=0
2f5a7cf3313b2775fd128e5bd79b6ef3630f6738e6f4a2b1bd34e2fe6c87e33a: (s:3863d618db9e75020d3d21e6603cfff2381beb8e4dd079bd9494d6b07cbd1572,t:0139f533849a827799ebfbd55d9fc76134719e376685c9704a11e876ef57c912): [id=11, ex=0, sq=12, act=(0) click, cp=[, ty=TextView, idx=text1, idnx=4, tx=Day 5, x=385, y=577, h=126, w=175, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=nerd.tuxmobil.fahrplan.camp.User-Trace.1.nerd.tuxmobil.fahrplan.camp_1.32.2_camp201512_augmented.png ex=0

